Date;Numero spettacoli;Ingressi;Spesa del pubblico
Jan-18;407032;23337474;482597644,3
Feb-18;375336;22230691;301164981,5
Mar-18;407807;21244449;328709780,7
Apr-18;388672;21888769;461044466,7
May-18;356118;16985095;355097932
Jun-18;315634;14359139;471409667,9
Jul-18;285838;14299256;571592151,6
Aug-18;286319;16760893;500307016,9
Sep-18;346191;17475565;390445462
Oct-18;368703;18881092;343255489
Nov-18;364995;21480956;283055203,2
Dec-18;413872;23886894;362189051,3
Jan-19;388698;22251443;527684797,2
Feb-19;361411;19439654;277577466,5
Mar-19;413709;22641973;380245193,7
Apr-19;375260;23073264;382720255,6
May-19;360580;19812794;403357922,3
Jun-19;340118;15460735;447721018,4
Jul-19;311274;16310883;575753661,6
Aug-19;314203;19976419;612311152,6
Sep-19;330376;18386603;367370258,9
Oct-19;372296;21756458;347900546,1
Nov-19;378443;22088537;278966807,4
Dec-19;417569;25184632;390474615,1
Jan-20;421091;27628620;382109311,6
Feb-20;324848;17810145;236730239,5
Mar-20;18594;588614;15387612,46
Apr-20;;;5772604,05
May-20;1164;28812;5886047,65
Jun-20;24096;1012103;41043876,28
Jul-20;77880;4547189;131664508
Aug-20;113132;6900404;187806238,9
Sep-20;191944;5119702;113692983,7
Oct-20;161265;3569657;56452161,51
Nov-20;1096;38669;2540600,39
Dec-20;371;1190;1541999,06
Jan-21;184;4312;578297,44
Feb-21;2199;172016;3078391,83
Mar-21;564;44837;1801875,26
Apr-21;2775;79313;1403873,09
May-21;74894;1745998;24269951,48
Jun-21;161797;4405524;76461329,57
Jul-21;196960;8324032;160340515,2
Aug-21;208331;9802316;176647934,2
Sep-21;231102;8619963;149489929,5
Oct-21;267633;12267458;171206872,6
Nov-21;273566;11553468;155770776,1
Dec-21;286275;12424144;167331403,2
Jan-22;274588;8596079;94075318,64
Feb-22;211534;9515434;119127267,9
Mar-22;259459;13139227;161709307,4
Apr-22;279436;17212360;242821038
May-22;256859;17689718;295178224,8
Jun-22;238332;19373645;358897175,7
Jul-22;223495;22480067;437971136,1
Aug-22;207079;22570646;346544222,5
Sep-22;240886;16968493;263023175,6
Oct-22;282779;20136835;271289324,2
Nov-22;270510;17451343;210792609,5
Dec-22;296500;19181267;255170204,1
