Date;Numero spettacoli;Ingressi;Spesa del pubblico
Jan-18;319556;12815316;99527809,4
Feb-18;279211;10586422;78156505,45
Mar-18;302038;8408634;60683989,14
Apr-18;287672;7429757;52284212,71
May-18;262643;5579501;45098825,43
Jun-18;212699;3675420;28124127,3
Jul-18;176592;2972751;19073912,04
Aug-18;187101;5110096;37118997,81
Sep-18;264158;6789039;52631424,3
Oct-18;281824;7709847;57354454,72
Nov-18;279071;8672730;62379808,16
Dec-18;312125;11938186;89976686,62
Jan-19;308748;12489100;100171903,3
Feb-19;272951;8467518;61659419,88
Mar-19;301053;8068654;59014191,74
Apr-19;288046;10290518;77990289,28
May-19;268636;7796085;59729552,51
Jun-19;237477;4286370;31849329,55
Jul-19;207763;4909151;37861308,36
Aug-19;210585;7051071;54350700,96
Sep-19;252819;7819079;62794563,51
Oct-19;284646;9632400;72910605,82
Nov-19;291507;9937379;70529036,69
Dec-19;321114;13691888;103129044,5
Jan-20;342511;16606889;121440619
Feb-20;251640;7080523;48923544,43
Mar-20;14247;217518;1440488,98
Apr-20;;;325,5
May-20;;;198
Jun-20;6944;111677;685211,22
Jul-20;23934;658929;3309540,71
Aug-20;59427;1381564;7665196,54
Sep-20;158221;2443035;17362260,85
Oct-20;139085;1805636;11266608,92
Nov-20;;;4823,5
Dec-20;;;56332
Jan-21;;;27483
Feb-21;;;14353,5
Mar-21;;;2164,8
Apr-21;2174;44478;289498,68
May-21;61019;801049;5164938,14
Jun-21;124073;1415528;9102229,35
Jul-21;137767;2318804;15407893,21
Aug-21;156915;2679886;18074571,25
Sep-21;187832;3272931;22875671,27
Oct-21;217862;5048158;35585479,21
Nov-21;225776;5050651;34525123,08
Dec-21;237348;6101141;44847154,66
Jan-22;250091;4536594;32381225,9
Feb-22;170035;2978630;20299393,85
Mar-22;199764;3658086;24659053,1
Apr-22;212027;4048463;27809817,41
May-22;187349;3792309;27234239,39
Jun-22;159464;3065783;21926129,69
Jul-22;125896;2687118;18478583,93
Aug-22;126277;3036152;20729046,2
Sep-22;178988;3667427;22258833,9
Oct-22;211458;4364739;30259469,3
Nov-22;208221;4946407;33332163,96
Dec-22;225459;6869912;53667485,47
